SKU,Name,Type,Variation_Name,Category,Target_Price,Image
BBC5-24,Rope Chain,VARIATION,24 inch,Chain Necklaces,30,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
BBC5-30,Rope Chain,VARIATION,30 inch,Chain Necklaces,35,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
BBC5-36,Rope Chain,VARIATION,36 inch,Chain Necklaces,39,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
BBC6-16,Twisted Box Chain,VARIATION,16 inch,Chain Necklaces,12,https://i.etsystatic.com/21625319/r/il/1db13c/3667813491/il_340x270.3667813491_mo9j.jpg
BBC6-18,Twisted Box Chain,VARIATION,18 inch,Chain Necklaces,14,https://i.etsystatic.com/21625319/r/il/1db13c/3667813491/il_340x270.3667813491_mo9j.jpg
BBC6-20,Twisted Box Chain,VARIATION,20 inch,Chain Necklaces,16,https://i.etsystatic.com/21625319/r/il/1db13c/3667813491/il_340x270.3667813491_mo9j.jpg
BBC6-22,Twisted Box Chain,VARIATION,22 inch,Chain Necklaces,18,https://i.etsystatic.com/21625319/r/il/1db13c/3667813491/il_340x270.3667813491_mo9j.jpg
BBC6-24,Twisted Box Chain,VARIATION,24 inch,Chain Necklaces,20,https://i.etsystatic.com/21625319/r/il/1db13c/3667813491/il_340x270.3667813491_mo9j.jpg
BBC7-16,Ball Chain (Fine),VARIATION,16 inch,Chain Necklaces,19,https://i.etsystatic.com/21625319/r/il/107958/3517124225/il_340x270.3517124225_9408.jpg
BBC7-18,Ball Chain (Fine),VARIATION,18 inch,Chain Necklaces,21,https://i.etsystatic.com/21625319/r/il/107958/3517124225/il_340x270.3517124225_9408.jpg
BBC7-20,Ball Chain (Fine),VARIATION,20 inch,Chain Necklaces,23,https://i.etsystatic.com/21625319/r/il/107958/3517124225/il_340x270.3517124225_9408.jpg
BBC7-22,Ball Chain (Fine),VARIATION,22 inch,Chain Necklaces,25,https://i.etsystatic.com/21625319/r/il/107958/3517124225/il_340x270.3517124225_9408.jpg
BBC7-24,Ball Chain (Fine),VARIATION,24 inch,Chain Necklaces,27,https://i.etsystatic.com/21625319/r/il/107958/3517124225/il_340x270.3517124225_9408.jpg
BBC7-30,Ball Chain (Fine),VARIATION,30 inch,Chain Necklaces,32,https://i.etsystatic.com/21625319/r/il/107958/3517124225/il_340x270.3517124225_9408.jpg
BBC8-16,Snake Ball Chain (Rounded),VARIATION,16 inch,Chain Necklaces,28,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC8-18,Snake Ball Chain (Rounded),VARIATION,18 inch,Chain Necklaces,32,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC9-18,Curb Chain,VARIATION,18 inch,Chain Necklaces,48,
BBC9-20,Curb Chain,VARIATION,20 inch,Chain Necklaces,52,
BBC9-22,Curb Chain,VARIATION,22 inch,Chain Necklaces,56,
BBC9-24,Curb Chain,VARIATION,24 inch,Chain Necklaces,60,
BBC12-18,10K Box Chain (Fine),VARIATION,18 inch,Chain Necklaces,,
